name,type,tealeaves,description,units
Ds_gmc,bakepar,FALSE,Empirical temperature response value for g_mc,J/mol/K
Ds_Jmax,bakepar,FALSE,Empirical temperature response value for J_max,J/mol/K
Ea_gammastar,bakepar,FALSE,Empirical temperature response value for gammastar,J/mol
Ea_gmc,bakepar,FALSE,Empirical temperature response value for g_mc,J/mol
Ea_Jmax,bakepar,FALSE,Empirical temperature response value for J_max,J/mol
Ea_KC,bakepar,FALSE,Empirical temperature response value for K_C,J/mol
Ea_KO,bakepar,FALSE,Empirical temperature response value for K_O,J/mol
Ea_Rd,bakepar,FALSE,Empirical temperature response value for R_d,J/mol
Ea_Vcmax,bakepar,FALSE,Empirical temperature response value for V_cmax,J/mol
Ea_Vtpu,bakepar,FALSE,Empirical temperature response value for V_tpu,J/mol
Ed_gmc,bakepar,FALSE,Empirical temperature response value for g_mc,J/mol
Ed_Jmax,bakepar,FALSE,Empirical temperature response value for J_max,J/mol
D_c0,constants,FALSE,diffusion coefficient for CO2 in air at 0 °C,m^2/s
D_h0,constants,FALSE,diffusion coefficient for heat in air at 0 °C,m^2/s
D_m0,constants,FALSE,diffusion coefficient for momentum in air at 0 °C,m^2/s
D_w0,constants,FALSE,diffusion coefficient for water vapour in air at 0 °C,m^2/s
epsilon,constants,FALSE,ratio of water to air molar masses,1
eT,constants,FALSE,exponent for temperature dependence of diffusion,1
G,constants,FALSE,gravitational acceleration,m/s^2
nu_constant,constants,FALSE,Constant for Nusselt number,1
R,constants,FALSE,Ideal gas constant,J/mol/K
s,constants,FALSE,Stephan-Boltzmann constant,W/m^2/K^4
sh_constant,constants,FALSE,Constant for Sherwood number,1
c_p,constants,TRUE,heat capacity of air,J/g/K
R_air,constants,TRUE,specific gas constant for dry air,J/kg/K
C_air,enviropar,FALSE,atmospheric CO2 concentration,Pa
O,enviropar,FALSE,atmospheric O2 concentration,kPa
P,enviropar,FALSE,atmospheric pressure,kPa
PPFD,enviropar,FALSE,photosynthetic photon flux density,umol/m^2/s
RH,enviropar,FALSE,relative humidity,1
wind,enviropar,FALSE,wind speed,m/s
E_q,enviropar,TRUE,energy per mole quanta,kJ/g/K
f_par,enviropar,TRUE,fraction of incoming shortwave radiation that is photosynthetically active radiation (PAR),1
r,enviropar,TRUE,reflectance for shortwave irradiance (albedo),1
T_air,enviropar,TRUE,air temperature,K
T_sky,enviropar,TRUE,leaf temperature,K
g_mc25,leafpar,FALSE,mesophyll conductance to CO2 at 25 °C,umol/m^2/s/Pa
g_sc,leafpar,FALSE,stomatal conductance to CO2,umol/m^2/s/Pa
g_uc,leafpar,FALSE,cuticular conductance to CO2,umol/m^2/s/Pa
gamma_star25,leafpar,FALSE,chloroplastic CO2 compensation point at 25 °C,Pa
J_max25,leafpar,FALSE,potential electron transport at 25 °C,umol/m^2/s
K_C25,leafpar,FALSE,Michaelis constant for carboxylation at 25 °C,umol/mol
K_O25,leafpar,FALSE,Michaelis constant for oxygenation at 25 °C,umol/mol
k_mc,leafpar,FALSE,partition of g_mc to lower mesophyll,1
k_sc,leafpar,FALSE,partition of g_sc to lower surface,1
k_uc,leafpar,FALSE,partition of g_uc to lower surface,1
leafsize,leafpar,FALSE,leaf characteristic dimension,m
phi_J,leafpar,FALSE,initial slope of the response of J to PPFD,1
R_d25,leafpar,FALSE,nonphotorespiratory CO2 release at 25 °C,umol/m^2/s
T_leaf,leafpar,FALSE,leaf temperature,K
theta_J,leafpar,FALSE,curvature factor for light-response curve,1
V_cmax25,leafpar,FALSE,maximum rate of carboxylation at 25 °C,umol/m^2/s
V_tpu25,leafpar,FALSE,rate of triose phosphate utilization at 25 °C,umol/m^2/s
abs_l,leafpar,TRUE,absorbtivity of longwave radiation (4 - 80 um),1
abs_s,leafpar,TRUE,absorbtivity of shortwave radiation (0.3 - 4 um),1
