ID,obs,time,elapsed,date,hhmmss,replicate,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,S,K,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr
S2,1,1576166562,0,20191212 09:02:41,9:02:41,,1576166554,0.005578676,12.77606833,395.0190236,339.0069743,28.82036036,33.58217225,0.459760594,2.53312351,0.417933639,0.264648681,241.666838,17.56015287,17.49230968,2.006067647,44.12382168,0.890612811,2.018439875,1.115454836,-246.0196146,13.30502878,1.029658135,9.981910307,-0.049297154,0.055340374,3.975778814,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1432-20221002-20_10_10,879.0927692,1016.3,0.135006623,0.5,1261.214332,12.77606833,85.13614382,0.483262816,0.009539805,-0.998515399,DARK-1433-20221002-20_10_11,525.16,491.14,0.279364806,1.937914398,0.160059907,6.440380271,1500.004194,1261.214332,0.840807204,0.191614408,6,0.5,395.0190323,409.9987419,10.47606452,4.955846452,600.0016774,84.91408387,0.099979371,17.58973548,17.49230968,999.9,0,0,14000.32581,0,11.72077097,1500.004194,0.973001645,0.026998565,0,879.1284839,5.0001,12752.78065,11926.16452,40.548,42.70325806,41.875,42.07012903,42.2256129,1454.643871,40.36032258,0,1664763010,879.0927692,-1.567521354,-8.273504275,12752.73077,15,1576166449,9:00:49,3,-1.28,-0.042,410,5,0.09,0.01,695.92,210.011,11.9484,26.867,29.9998,26.8372,26.8762
S2,2,1576166712,150.5,20191212 09:05:12,9:05:12,,1576166704,0.006031829,12.22438787,286.0596369,239.8068663,20.38639016,24.31841696,0.524439447,2.533200139,0.470752229,0.298584411,241.6650723,17.41644389,17.50221613,2.007322633,46.4409047,0.936915627,2.017436209,1.070407006,-266.0036576,10.87580894,0.841647426,-12.62112888,-0.049299501,0.055343009,3.975924134,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1434-20221002-20_12_40,881.0058846,1015.44,0.132390014,0.5,1261.204868,12.22438787,83.48546478,0.467679036,0.009102453,-0.998514142,DARK-1435-20221002-20_12_42,540.54,474.9,0.283078786,1.881025069,0.156982404,6.434922274,1499.992903,1261.204868,0.840807223,0.191614446,6,0.5,286.0596452,300.0095484,11.02101935,5.055644839,599.9977419,84.91169032,0.100012939,17.58185161,17.50221613,999.9,0,0,14001.3871,0,11.6886871,1499.992903,0.972999903,0.02700019,0,881.0129032,5.0001,12771.04194,11926.08065,40.44512903,42.655,41.766,41.772,42.12487097,1454.631935,40.36096774,0,150.0999999,881.0058846,-2.527623933,-22.82393164,12770.83846,15,1576166630,9:03:50,4,-1.251,-0.035,300,5,0.12,0.02,625.189,268.352,11.9504,26.7453,29.9997,26.771,26.7927
S2,3,1576166863,301.4000001,20191212 09:07:43,9:07:43,,1576166855,0.006041883,8.55113387,195.281349,163.0884409,13.8645024,16.60129141,0.525706012,2.534063233,0.471789762,0.299250632,241.6711401,17.40618858,17.50136452,2.007214721,46.48531488,0.937377652,2.016502749,1.069837068,-266.4470548,9.993711256,0.773088342,-14.00911512,-0.049325946,0.055372696,3.977561118,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1436-20221002-20_15_11,886.4064615,998.215,0.112008474,0.5,1261.234403,8.55113387,70.63447017,0.45414565,0.006189813,-0.998488502,DARK-1437-20221002-20_15_13,544.88,453.335,0.246635575,1.834300751,0.133241939,6.325603677,1500.027742,1261.234403,0.840807385,0.19161477,6,0.5,195.2813548,205.0124516,11.02639355,5.051071613,599.9940968,84.91218387,0.099986994,17.57451613,17.50136452,999.9,0,0,14008.81613,0,11.9935871,1500.027742,0.972998742,0.027001274,0,886.4636452,5.0001,12843.20645,11926.34839,40.37080645,42.56606452,41.669,41.4836129,42.01,1454.657742,40.37,0,150.7,886.4064615,-2.148581199,-40.73162394,12842.48462,15,1576166782,9:06:21,5,-1.161,-0.038,205,5,0.13,0.02,625.365,267.657,12.0523,26.6309,29.9999,26.685,26.706
S2,4,1576167014,451.9000001,20191212 09:10:13,9:10:13,,1576167006,0.006078594,3.256954117,96.1255236,83.51940058,7.100248619,8.171935041,0.530396707,2.533355567,0.475553983,0.3016747,241.6656829,17.39963241,17.50421613,2.007576084,46.5903122,0.939763229,2.017078625,1.067812856,-268.065984,10.21957885,0.790811846,-15.38991049,-0.049304263,0.055348354,3.9762189,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1438-20221002-20_17_41,906.4626538,985.482,0.080183449,0.5,1261.205681,3.256954117,50.56391098,0.455048393,0.00199224,-0.998468973,DARK-1439-20221002-20_17_43,537.04,448.442,0.17620862,1.837377916,0.095618043,6.244793594,1499.993548,1261.205681,0.840807403,0.191614807,6,0.5,96.12552581,99.96680323,11.05432581,5.042902903,599.9976129,84.91316129,0.100004155,17.57904194,17.50421613,999.9,0,0,14002.49677,0,9.443553226,1499.993548,0.972997194,0.027002719,0,906.4820323,5.0001,13104.44839,11926.06774,40.29606452,42.508,41.61280645,41.45332258,41.96951613,1454.623548,40.37,0,150,906.4626538,-0.371931633,-41.01880335,13104.03846,15,1576166940,9:09:00,6,-1.171,-0.035,100,5,0.24,0.03,624.884,266.782,12.0903,26.5279,29.9999,26.5969,26.6175
S2,5,1576167164,602.4000001,20191212 09:12:44,9:12:44,,1576167156,0.006133186,0.668260812,49.04075761,45.90219791,3.902330364,4.16915194,0.538166456,2.532591207,0.481781271,0.305685503,241.6685326,17.39691558,17.50407742,2.007558506,46.76485815,0.944098242,2.018819855,1.063460264,-270.4734874,12.10290901,0.936895923,-15.76514984,-0.049280851,0.055322073,3.974769416,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1440-20221002-20_20_12,916.7259231,977.761,0.062423309,0.5,1261.220593,0.668260812,39.36478134,0.450008744,-6.03E-05,-0.998456883,DARK-1441-20221002-20_20_14,537.76,440.001,0.138715769,1.820512849,0.074552557,6.195792207,1500.01129,1261.220593,0.8408074,0.191614801,6,0.5,49.04075806,50.00979677,11.10520645,5.040119677,599.998871,84.91401935,0.100000477,17.59271935,17.50407742,999.9,0,0,13995.70645,0,9.593614194,1500.01129,0.97299571,0.027004319,0,916.740129,5.0001,13243.33548,11926.2,40.26193548,42.48780645,41.562,41.55412903,41.94919355,1454.640968,40.37032258,0,150.0999999,916.7259231,-1.527521362,-38.34188032,13242.78846,15,1576167087,9:11:27,7,-1.102,-0.035,50,5,0.32,0.01,625.127,265.877,12.1185,26.4504,30.0001,26.5207,26.5415
S2,6,1576167315,752.9000001,20191212 09:15:14,9:15:14,,1576167307,0.006197998,12.19217897,395.3555079,348.6574981,29.64195305,33.6120963,0.547413846,2.533038581,0.489195322,0.310460222,241.6701467,17.44002028,17.50619032,2.007826293,46.84293837,0.949408199,2.026790445,1.058418094,-273.3317056,20.34849626,1.575440553,-9.737622125,-0.049294553,0.055337454,3.975617756,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1442-20221002-20_22_43,865.1721154,991.092,0.127051661,0.5,1261.229003,12.19217897,80.12061976,0.470927018,0.009076741,-0.998477639,DARK-1443-20221002-20_22_44,524.36,466.732,0.269790553,1.892666977,0.151343063,6.280397502,1500.02129,1261.229003,0.840807401,0.191614803,6,0.5,395.3555161,409.9981935,11.16722258,5.038403226,599.9964839,84.91740968,0.099987652,17.65519677,17.50619032,999.9,0,0,13999.03871,0,11.82059355,1500.02129,0.972995387,0.027004674,0,865.1555484,5.0001,12541.23226,11926.28065,40.25,42.437,41.562,41.82825806,41.937,1454.650645,40.37064516,0,150.0999999,865.1721154,1.602700854,22.81709403,12541.5,15,1576167238,9:13:57,8,-1.262,-0.035,411,5,0.12,0.01,624.946,265.846,12.2834,26.3849,30.0001,26.4542,26.4761
S2,7,1576167465,903.4000001,20191212 09:17:45,9:17:45,,1576167457,0.006139733,13.01843775,394.5447331,344.5909517,29.29915306,33.54651789,0.538809909,2.533937709,0.482324038,0.306032604,241.6666458,17.45694977,17.51196774,2.008558677,46.62822516,0.945022197,2.026717067,1.06353648,-270.762243,19.48802755,1.508325652,-8.099243949,-0.049322099,0.055368377,3.97732302,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1444-20221002-20_25_13,865.6315385,996.651,0.13145972,0.5,1261.210577,13.01843775,82.89919477,0.471389684,0.009732006,-0.99848613,DARK-1445-20221002-20_25_15,526.84,469.811,0.278876956,1.894313911,0.156427097,6.315677739,1499.999355,1261.210577,0.840807413,0.191614826,6,0.5,394.5447419,409.9855161,11.11452258,5.043054194,600.0024516,84.9259,0.099992058,17.65462258,17.51196774,999.9,0,0,14005.46129,0,12.13637097,1499.999355,0.972993774,0.027006448,0,865.654871,5.0001,12546.35484,11926.09677,40.21951613,42.399,41.54,41.812,41.937,1454.62871,40.37064516,0,150.0999999,865.6315385,-0.936273508,-18.46495728,12546.03462,15,1576167386,9:16:25,9,-1.256,-0.034,410,5,0.11,0.02,624.926,265.22,12.2392,26.3331,30,26.3984,26.4203
S2,8,1576167616,1053.9,20191212 09:20:15,9:20:15,,1576167608,0.006016455,13.55512071,394.0762489,340.9927272,28.99303241,33.50647842,0.521414159,2.532927371,0.468305959,0.297010728,241.6679438,17.47325803,17.51206129,2.008570538,46.20031298,0.935135612,2.024089343,1.073434926,-265.3256679,16.65797001,1.289664019,-5.710090074,-0.049291146,0.05533363,3.975406863,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1446-20221002-20_27_44,862.4780385,997.36,0.135238992,0.5,1261.214922,13.55512071,85.28271771,0.470161226,0.010157501,-0.998487206,DARK-1447-20221002-20_27_45,528.44,468.92,0.287643866,1.889907449,0.16090242,6.320177413,1500.004194,1261.214922,0.840807598,0.191615195,6,0.5,394.0762581,410.0023226,10.9983129,5.048028065,599.9999355,84.92537742,0.099991448,17.63404839,17.51206129,999.9,0,0,13996.75806,0,12.0353,1500.004194,0.972992806,0.027007513,0,862.5093871,5.0001,12500.17419,11926.13226,40.159,42.379,41.46951613,41.39290323,41.86280645,1454.624194,40.38,0,150.0999999,862.4780385,-3.270051279,-31.30940168,12499.83077,15,1576167536,9:18:56,10,-1.271,-0.035,410,5,0.1,0.02,624.668,264.44,12.1616,26.3019,30.0001,26.3566,26.3801
S2,9,1576167766,1204.4,20191212 09:22:46,9:22:46,,1576167758,0.005869353,14.7678205,581.8138287,518.7087052,44.10286324,49.46833446,0.498749589,2.533672265,0.449939895,0.28519868,241.667326,17.49893913,17.51504194,2.008948478,45.45220057,0.918924099,2.021737314,1.090024379,-258.8384524,13.73752545,1.063164978,-2.370436002,-0.049313966,0.055359246,3.976819546,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1448-20221002-20_30_14,860.8935769,993.475,0.133452199,0.5,1261.211671,14.7678205,84.15573524,0.472014897,0.011119062,-0.99848129,DARK-1449-20221002-20_30_16,524.54,468.935,0.282728786,1.896571753,0.158894469,6.29552123,1500.000323,1261.211671,0.8408076,0.1916152,6,0.5,581.8138387,599.9966452,10.80777742,5.001822581,599.9961935,84.92437419,0.099961813,17.6156129,17.51504194,999.9,0,0,14003.40323,0,12.08047419,1500.000323,0.972992,0.0270084,0,860.9405161,5.0001,12480.69355,11926.1,40.17912903,42.399,41.47967742,41.51783871,41.87093548,1454.620323,40.38,0,150,860.8935769,-2.704649582,-32.75897431,12480.34615,15,1576167698,9:21:38,11,-1.738,-0.036,600,5,0.15,0.02,624.253,263.891,12.0512,26.282,30,26.3287,26.3528
S2,10,1576167917,1354.9,20191212 09:25:16,9:25:16,,1576167909,0.005561583,15.19132457,800.3623768,726.7802379,61.79053202,68.04645269,0.458853081,2.533121887,0.417183059,0.264167228,241.664891,17.54805919,17.51357742,2.008762772,44.37429949,0.894696974,2.016250361,1.114065799,-245.2658024,8.051206882,0.623085445,5.073381008,-0.049297104,0.055340318,3.975775736,159.0757692,1.5088,-157.5669692,-104.4319785,0.74432934,MPF-1450-20221002-20_32_45,859.5986154,987.027,0.129103241,0.5,1261.198684,15.19132457,81.41241879,0.474664827,0.011454972,-0.998471369,DARK-1451-20221002-20_32_46,518.52,468.507,0.271988219,1.906183464,0.15390808,6.254598948,1499.984839,1261.198684,0.840807621,0.191615242,6,0.5,800.3623871,820.0048065,10.52342581,5.020422258,600.0057097,84.91953548,0.100018984,17.57253226,17.51357742,999.9,0,0,13999.4129,0,12.20066774,1499.984839,0.972990258,0.027009997,0,859.538,5.0001,12458.30645,11925.96452,40.19106452,42.403,41.5,41.812,41.907,1454.604194,40.38064516,0,149.9000001,859.5986154,6.391521378,99.84957265,12459.21538,15,1576167846,9:24:06,12,-2.224,-0.036,820,5,0.11,0.02,624.296,263.661,12.064,26.2754,30.0003,26.31,26.335
