symbol,R,description,units,default,type,temperature_response,tealeaves,note
"D_{\mathrm{c},0}",D_c0,diffusion coefficient for CO2 in air at 0 °C,m^2 / s,1.29E-05,constants,FALSE,FALSE,NA
"D_{\mathrm{h},0}",D_h0,diffusion coefficient for heat in air at 0 °C,m^2 / s,1.90E-05,constants,FALSE,FALSE,NA
"D_{\mathrm{m},0}",D_m0,diffusion coefficient for momentum in air at 0 °C,m^2 / s,1.33e-5,constants,FALSE,FALSE,NA
"D_{\mathrm{w},0}",D_w0,diffusion coefficient for water vapor in air at 0 °C,m^2 / s,2.12e-5,constants,FALSE,FALSE,NA
"\epsilon",epsilon,ratio of water to air molar masses,none,0.622,constants,FALSE,FALSE,NA
G,G,gravitational acceleration,m / s^2,9.8,constants,FALSE,FALSE,NA
eT,eT,exponent for temperature dependence of diffusion,none,1.75,constants,FALSE,FALSE,NA
R,R,ideal gas constant,J / mol / K,8.3144598,constants,FALSE,FALSE,NA
"\sigma",sigma,Stephan-Boltzmann constant,W / m^2 / K^4,5.67e-08,constants,FALSE,FALSE,NA
"f_\mathrm{Sh}",f_sh,function to calculate constant(s) for Sherwood number,none,NA,constants,FALSE,FALSE,"calculated"
"f_\mathrm{Nu}",f_nu,function to calculate constant(s) for Nusselt number,none,NA,constants,FALSE,FALSE,"calculated"
"D_\mathrm{s,gmc}",Ds_gmc,empirical temperature response parameter,J / mol / K,487.29,bake,FALSE,FALSE,NA
"D_\mathrm{s,Jmax}",Ds_Jmax,empirical temperature response parameter,J / mol / K,388.04,bake,FALSE,FALSE,NA
"E_\mathrm{a,\Gamma *}",Ea_gammastar,empirical temperature response parameter,J / mol,24459.97,bake,FALSE,FALSE,NA
"E_\mathrm{a,gmc}",Ea_gmc,empirical temperature response parameter,J / mol,68901.56,bake,FALSE,FALSE,NA
"E_\mathrm{a,Jmax}",Ea_Jmax,empirical temperature response parameter,J / mol,56095.18,bake,FALSE,FALSE,NA
"E_\mathrm{a,KC}",Ea_KC,empirical temperature response parameter,J / mol,80989.78,bake,FALSE,FALSE,NA
"E_\mathrm{a,KO}",Ea_KO,empirical temperature response parameter,J / mol,23719.97,bake,FALSE,FALSE,NA
"E_\mathrm{a,Rd}",Ea_Rd,empirical temperature response parameter,J / mol,40446.75,bake,FALSE,FALSE,NA
"E_\mathrm{a,Vcmax}",Ea_Vcmax,empirical temperature response parameter,J / mol,52245.78,bake,FALSE,FALSE,NA
"E_\mathrm{a,Vtpu}",Ea_Vtpu,empirical temperature response parameter,J / mol,52245.78,bake,FALSE,FALSE,NA
"E_\mathrm{d,gmc}",Ed_gmc,empirical temperature response parameter,J / mol,148788.56,bake,FALSE,FALSE,NA
"E_\mathrm{d,Jmax}",Ed_Jmax,empirical temperature response parameter,J / mol,121244.79,bake,FALSE,FALSE,NA
"C_\mathrm{air}",C_air,atmospheric CO2 concentration,Pa,41,enviro,FALSE,FALSE,NA
"O",O,atmospheric O2 concentration,kPa,21.27565,enviro,FALSE,FALSE,NA
"P",P,atmospheric pressure,kPa,101.3246,enviro,FALSE,FALSE,NA
"\mathrm{PPFD}",PPFD,photosynthetic photon flux density,umol / m^2 / s,1500,enviro,FALSE,FALSE,NA
"\mathrm{RH}",RH,relative humidity,none,0.50,enviro,FALSE,FALSE,NA
"u",wind,windspeed,m / s,2,enviro,FALSE,FALSE,NA
"d",leafsize,leaf characteristic dimension,m,0.1,leaf,FALSE,FALSE,NA
"\Gamma*",gamma_star,chloroplastic CO2 compensation point (T_leaf),Pa,NA,leaf,TRUE,FALSE,NA
"\Gamma*_{25}",gamma_star25,chloroplastic CO2 compensation point (25 °C),Pa,3.743,leaf,FALSE,FALSE,NA
"g_\mathrm{mc}",g_mc,mesophyll conductance to CO2 (T_leaf),mol / m^2 / s,NA,leaf,TRUE,FALSE,NA
"g_\mathrm{mc,25}",g_mc25,mesophyll conductance to CO2 (25 °C),mol / m^2 / s,0.4,leaf,FALSE,FALSE,NA
"g_\mathrm{sc}",g_sc,stomatal conductance to CO2,mol / m^2 / s,0.4,leaf,FALSE,FALSE,NA
"g_\mathrm{uc}",g_uc,cuticular conductance to CO2,mol / m^2 / s,0.1,leaf,FALSE,FALSE,NA
"J_\mathrm{max,25}",J_max25,potential electron transport (25 °C),umol / m^2 / s,200,leaf,FALSE,FALSE,NA
"J_\mathrm{max}",J_max,potential electron transport (T_leaf),umol / m^2 / s,NA,leaf,TRUE,FALSE,NA
"k_\mathrm{mc}",k_mc,partition of g_mc to lower mesophyll,none,1,leaf,FALSE,FALSE,NA
"k_\mathrm{sc}",k_sc,partition of g_sc to lower surface,none,1,leaf,FALSE,FALSE,NA
"k_\mathrm{uc}",k_uc,partition of g_uc to lower surface,none,1,leaf,FALSE,FALSE,NA
"K_\mathrm{C,25}",K_C25,Michaelis constant for carboxylation (25 °C),umol / mol,268.3,leaf,FALSE,FALSE,NA
