obs,time,elapsed,date,hhmmss,Ci(m),H2O_B,P_B,T_B,Dp_B, CO2R_DAC,H2OR_DAC,Flow_s+r,Flow_S+R,gtc*,gtc_mmol,rtc*-rtc,replicate,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,?Pcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time,hhmmss,count,co2_adj,h2o_adj,co2_at,h2o_at,co2_cv,h2o_cv,A:MN,A:SLP,A:SD,A:OK,?CO2:MN,?CO2:SLP,?CO2:SD,?CO2:OK,F:MN,F:SLP,F:SD,F:OK,?H2O:MN,?H2O:SLP,?H2O:SD,?H2O:OK,Stable,Total,State,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1556298922,0,20190426 12:15:22,12:15:22,782.6952,14.86696,90.2264978,18.6691,11.21796,0.488061713,0.998842944,1298.681,2.288214728,-52.21911784,180.4698218,-5.560242708,,1556298914,0.004693704,20.63586542,387.5168387,264.6902144,22.36419204,32.74205288,0.305290689,2.52430916,0.286161823,0.180469822,241.6659633,25.335437,24.49410645,3.085030099,54.35647771,1.738730378,3.198754686,1.346299721,-206.9923663,82.50687473,6.8995577,124.0800294,-0.049027776,0.055037973,3.95908125,3,1,1,0,61225.54637,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-976-20180822-15_17_35,832.4559231,1118.9,0.256005074,0.5,1261.209726,20.63586542,161.4380444,0.473304138,0.017154851,1.914978997,DARK-977-20180822-15_17_37,589.32,529.58,0.540889152,0.801822434,0.893694081,0.869877142,1499.99871,1261.209726,0.840807207,0.191614415,6,0.5,0: Broadleaf,1556298914,387.5168387,409.9718387,20.57865161,15.9814871,599.9934516,84.39201935,0.099929413,25.10037097,24.49410645,999.9,0,0,14009.95806,0,0.001627579,1499.99871,0.973004645,0.026995574,0,832.4770645,4.99974,12702.68387,12844.94194,44.383,46.062,45.312,45.633,46.375,1454.638387,40.36032258,0,1534969055,832.4559231,-2.17497436,-39.97606845,12702.36538,15,1556298952,12:15:51,1,1.873,0.543,410,16,0.1,0.02,20.50826522,-0.207308466,0.028455731,-1,-22.30685122,-0.020351916,0.028039807,1,832.6056765,-2.200844227,0.29757794,-1,4.560786585,0.588139443,0.064847097,0,1,2,1/2,1.86356,1.85837,1.86966,1.86691,1.86657,1.86476,1.8631,1.8674,5,0,0,0,11111111,oooooooo,off,off,off,off,0,0,0,1.873,0.543,2,628.122,670.559,22.2346,27.0385,30.001,26.8019,26.8523,26.6239,46.8778,0,22.2848,410,16,101.653,138.119
2,1556299193,270.5,20190426 12:19:52,12:19:52,782.6952,14.86696,90.2266532,18.6691,11.2179,0.488103111,1.001528226,1298.212,2.292240254,-53.2483004,181.3096369,-5.534206575,,1556299185,0.004974223,21.06946133,387.0119355,261.9033831,22.12602673,32.69540213,0.306800386,2.523215122,0.287480475,0.181309637,241.6685577,25.84742279,25.0237129,3.184175611,53.26442632,1.765224199,3.314077182,1.418951412,-219.3632499,91.48167211,7.696853407,121.4838333,-0.048994426,0.055000536,3.957011252,3,1,1,0,61065.94291,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-978-20180822-15_22_06,827.7443846,1119.74,0.260770907,0.5,1261.223529,21.06946133,164.4452017,0.474449426,0.017498454,1.912792255,DARK-979-20180822-15_22_07,588.48,531.26,0.549628459,0.801256224,0.908633343,0.86953612,1500.015161,1261.223529,0.840807187,0.191614375,6,0.5,0: Broadleaf,1556299185,387.0119355,410.0066129,20.89476774,16.02445161,599.9965484,84.38163226,0.100005474,25.69621613,25.0237129,999.9,0,0,14002.15161,0,0.001724368,1500.015161,0.973006645,0.026993729,0,827.7593226,4.99974,12638.03548,12845.08387,44.554,46.19106452,45.45732258,45.762,46.56606452,1454.663871,40.36,0,269.5999999,827.7443846,0.070153835,7.476923044,12637.96538,15,1556299102,12:18:21,2,1.895,0.543,410,16,0.04,0.02,21.06200462,0.125789228,0.027108325,-1,-22.99000976,-0.125272474,0.027367782,1,827.6898824,0.797542507,0.208816098,-1,4.870440732,-0.000262369,0.001021394,1,2,2,2/2,1.86356,1.85837,1.86965,1.86691,1.86658,1.86473,1.86309,1.86739,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.895,0.543,2,628.121,670.091,22.119,27.1077,29.9999,26.9135,26.9604,26.6237,46.8778,0,22.1132,410,16,101.632,138.086
3,1556299344,421.4000001,20190426 12:22:23,12:22:23,782.6952,14.86696,90.2266532,18.6691,11.21784,0.357132373,1.001595565,1297.977,2.291511176,-30.30243057,187.0369464,-5.379537898,,1556299336,0.00507675,15.12914847,283.4234194,196.0279813,16.55995728,23.94290696,0.317083103,2.520897827,0.296475444,0.187036946,241.6629816,25.76073229,24.99024839,3.177829451,53.69732894,1.773657536,3.303064734,1.404171916,-223.8846663,88.3200284,7.434328168,113.5326719,-0.04892385,0.054921307,3.952628574,2,0,1,0,60999.62011,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-980-20180822-15_24_37,824.9559615,1073.65,0.231634181,0.5,1261.196691,15.12914847,146.0681313,0.448274577,0.012788765,2.037833558,DARK-981-20180822-15_24_38,592.36,481.29,0.516723885,0.819688222,0.903465028,0.888247652,1499.983548,1261.196691,0.840807015,0.191614031,6,0.5,0: Broadleaf,1556299336,283.4234194,299.9911935,20.99561613,16.02552903,600.0088387,84.37735484,0.100162977,25.64010645,24.99024839,999.9,0,0,13982.69032,0,0.001695702,1499.983548,0.973007613,0.026992723,0,824.9754839,4.99974,12595.92258,12844.80645,44.629,46.3,45.562,45.81606452,46.625,1454.633226,40.35032258,0,150.5,824.9559615,-1.459658118,-25.04957264,12595.70385,15,1556299280,12:21:20,3,1.787,0.547,300,16,0.06,0.02,15.13423678,-0.093321152,0.019317373,-1,-16.57163415,0.081827875,0.019277354,1,825.1154118,-2.647531699,0.322122293,-1,4.968287805,0.035439303,0.003609147,1,2,2,2/2,1.86356,1.85837,1.86964,1.86691,1.86658,1.86476,1.8631,1.86738,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.787,0.547,2,628.561,669.416,22.3438,27.0756,29.9999,26.9225,26.9649,20.694,47.1562,0,22.3486,300,16,101.642,138.087
4,1556299494,571.9000001,20190426 12:24:54,12:24:54,782.6952,14.86696,90.2263424,18.6691,11.21796,0.24403268,0.997767339,1297.235,2.290523703,-16.19945173,193.1409792,-5.239295618,,1556299486,0.005225729,9.529380889,194.4419032,140.5707695,11.87448301,16.42515784,0.328052656,2.522556345,0.306060966,0.193140979,241.6682532,25.74400439,25.00509032,3.180642688,53.82114021,1.780688015,3.308528969,1.399954673,-230.4546271,90.14871576,7.584897398,108.9472393,-0.048974354,0.054978002,3.955765063,2,0,1,0,61048.98394,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-982-20180822-15_27_07,838.3176923,1044.54,0.197428828,0.5,1261.222636,9.529380889,124.5008532,0.429318169,0.008348551,2.122494112,DARK-983-20180822-15_27_09,596.1,448.44,0.459865997,0.831759502,0.837767653,0.900065675,1500.014194,1261.222636,0.840807134,0.191614269,6,0.5,0: Broadleaf,1556299486,194.4419032,204.9874516,21.07988065,15.96427742,599.9961935,84.37334194,0.100002352,25.66796774,25.00509032,999.9,0,0,13997.79032,0,0.00170125,1500.014194,0.973004161,0.026996042,0,838.3606452,4.99974,12793.62258,12845.05806,44.71545161,46.37093548,45.625,45.875,46.71545161,1454.657097,40.35709677,0,150,838.3176923,-1.172170946,-23.35384618,12793.24231,15,1556299429,12:23:49,4,1.647,0.547,205,16,0.1,0.02,9.534041694,-0.065290445,0.023022075,-1,-10.55212683,0.129202787,0.022901379,1,838.3998824,-1.364585775,0.213063476,-1,5.116628049,-0.014150801,0.002209473,1,2,2,2/2,1.86356,1.85837,1.86966,1.86691,1.86656,1.8647,1.8631,1.86737,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.647,0.547,2,628.668,668.567,22.3437,27.0504,30,26.9202,26.9604,15.2547,47.4267,0,22.3395,205,16,101.647,138.086
5,1556299645,722.4000001,20190426 12:27:24,12:27:24,782.6952,14.86696,90.2257208,18.6691,11.21796,0.119029547,1.000065927,1296.832,2.290047839,-4.570198759,199.1630246,-5.239821182,,1556299637,0.005337223,3.136807621,96.3338871,78.24473545,6.609054952,8.136981356,0.338926528,2.522803703,0.315510688,0.199163025,241.6692735,25.71689596,24.99951613,3.179585864,54.16709325,1.792796292,3.309751704,1.386789572,-235.3715419,91.76290517,7.71998019,105.780617,-0.04898189,0.054986462,3.956232959,2,0,1,0,61055.37313,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-984-20180822-15_29_38,863.5297692,1024.22,0.156890347,0.5,1261.22732,3.136807621,98.93719564,0.409658081,0.003279986,2.184442795,DARK-985-20180822-15_29_39,604.64,419.58,0.382978766,0.842080898,0.711532147,0.90831515,1500.019677,1261.22732,0.840807183,0.191614366,6,0.5,0: Broadleaf,1556299637,96.3338871,99.98481935,21.22495161,16.00105484,600.0050645,84.36641613,0.100032819,25.67419677,24.99951613,999.9,0,0,14001.09355,0,0.001584733,1500.019677,0.973003,0.026997274,0,863.554129,4.99974,13167.20323,12845.09032,44.754,46.403,45.687,45.937,46.75,1454.66,40.35967742,0,150,863.5297692,-1.742085476,-34.41025634,13166.68846,15,1556299576,12:26:16,5,1.482,0.544,100,16,0.18,0.02,3.138495496,-0.009725697,0.015065692,-1,-3.651483659,-0.02913115,0.015268637,1,863.7033235,-2.634497041,0.326879157,-1,5.22188561,0.049241394,0.005103307,1,2,2,2/2,1.86356,1.85837,1.86966,1.86691,1.86652,1.86464,1.86308,1.86737,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.482,0.544,2,628.863,667.969,22.415,27.039,30.0002,26.9157,26.9558,8.93473,47.4267,0,22.4064,100,16,101.658,138.09
6,1556299795,872.9000001,20190426 12:29:55,12:29:55,782.6952,14.86696,90.2255654,18.669,11.21796,0.059527988,1.002340524,1296.369,2.289469019,-0.090317967,205.6258766,-15.93519523,,1556299787,0.005459901,0.066205695,49.66613226,48.0468933,4.058168786,4.194934028,0.350644074,2.522866659,0.325645739,0.205625877,241.6661605,25.69814203,25.00274194,3.180197414,54.5038341,1.805863059,3.31327711,1.374334355,-240.7816449,93.76765434,7.889282447,102.5414524,-0.048983808,0.054988616,3.95635205,2,0,1,0,61053.48302,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-986-20180822-15_32_08,877.7573077,1012.52,0.133096326,0.5,1261.211536,0.066205695,83.93131105,0.405957413,0.000845382,2.221240074,DARK-987-20180822-15_32_10,601.48,411.04,0.327857854,0.845478912,0.629329545,0.913065094,1500.000968,1261.211536,0.840807148,0.191614296,6,0.5,0: Broadleaf,1556299787,49.66613226,50.00350968,21.38060645,16.03744839,600.0008065,84.36268387,0.099983894,25.69214516,25.00274194,999.9,0,0,14002.26129,0,0.001627273,1500.000968,0.973003839,0.026996339,0,877.7724516,4.99974,13375.46774,12844.94839,44.81606452,46.437,45.74187097,45.96545161,46.812,1454.643548,40.35741935,0,150.0999999,877.7573077,-1.630358984,-20.60170932,13375.29231,15,1556299731,12:28:51,6,1.38,0.546,50,16,0.15,0.02,0.049892069,0.190639791,0.033166376,-1,-0.324401537,-0.188788955,0.032965435,1,877.8422353,-1.840502817,0.264171519,-1,5.341770976,0.034170105,0.003450476,1,2,2,2/2,1.86356,1.85837,1.86966,1.8669,1.86651,1.86469,1.8631,1.86739,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.38,0.546,2,629.241,667.128,22.4146,27.0255,30.0001,26.9089,26.9467,5.86857,47.4267,0,22.4157,50,16,101.667,138.089
7,1556299946,1023.4,20190426 12:32:25,12:32:25,782.6952,14.86696,90.2258762,18.6691,11.21796,0.488097465,1.000395363,1297.107,2.291484608,-51.87963911,211.910111,-4.738257387,,1556299938,0.005591328,20.51168337,387.3246129,281.7040621,23.79126112,32.71142394,0.362083546,2.522953739,0.335494626,0.211910111,241.6653665,25.72387959,25.00057742,3.179787053,54.53514333,1.813881849,3.326078815,1.365905204,-246.5775491,102.9112656,8.661034568,106.6601177,-0.048986461,0.054991594,3.956516777,2,0,1,0,61042.41664,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-988-20180822-15_34_39,810.2501154,1075.51,0.246636372,0.5,1261.206242,20.51168337,155.5296661,0.460999898,0.017056436,2.032579892,DARK-989-20180822-15_34_40,579.7,495.81,0.535003095,0.815125267,0.957178327,0.887492532,1499.994516,1261.206242,0.840807235,0.191614471,6,0.5,0: Broadleaf,1556299938,387.3246129,410.001871,21.47754516,16.00632581,600.0022258,84.35481613,0.099987032,25.75718065,25.00057742,999.9,0,0,14004.32581,0,0.001797116,1499.994516,0.973003,0.026996968,0,810.2232258,4.99974,12384.66774,12844.90323,44.86280645,46.5,45.77,46.004,46.86687097,1454.632903,40.3616129,0,150.0999999,810.2501154,3.202085479,59.43931624,12385.33077,15,1556299877,12:31:16,7,2.018,0.541,410,16,0.08,0.02,20.43113081,1.150026279,0.12424022,-1,-22.61854634,-1.172333101,0.118318988,0,810.0582941,3.249459003,0.354226459,-1,5.46937122,0.037622927,0.003796711,1,1,2,1/2,1.86356,1.85837,1.86966,1.86691,1.86653,1.86468,1.86309,1.8674,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,2.018,0.541,2,629.368,667.739,22.5587,27.0115,29.9999,26.8983,26.9354,26.6532,47.7024,0,22.5579,410,16,101.672,138.091
8,1556300096,1173.9,20190426 12:34:56,12:34:56,782.6952,14.86696,90.2260316,18.6691,11.21796,0.488085829,1.000293952,1296.812,2.291401406,-55.46257795,217.3731716,-4.618413896,,1556300088,0.005703469,22.01402968,385.7783871,275.8257707,23.29219496,32.57717863,0.372083417,2.521254379,0.344049093,0.217373172,241.667212,25.71341897,25.00782258,3.181160815,54.72667946,1.822745927,3.330634975,1.358414888,-251.5229667,104.9961545,8.843804491,103.9842042,-0.048934704,0.054933492,3.953302757,2,0,1,0,60980.1188,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-990-20180822-15_37_09,808.0077692,1090.94,0.259347197,0.5,1261.212097,22.01402968,163.5459109,0.463215209,0.018247549,1.989687792,DARK-991-20180822-15_37_11,585.6,505.34,0.559884891,0.811156328,0.967101471,0.88122829,1500.000968,1261.212097,0.840807522,0.191615044,6,0.5,0: Broadleaf,1556300088,385.7783871,409.9920968,21.58492581,16.00470323,600.0147419,84.34520968,0.100108471,25.78027419,25.00782258,999.9,0,0,13991.12258,0,0.001742246,1500.000968,0.972993613,0.02700631,0,808.000129,4.99974,12353.67742,12844.91935,44.901,46.508,45.812,46.028,46.875,1454.624839,40.37612903,0,150.0999999,808.0077692,-0.205948711,-9.623931621,12353.55769,15,1556300006,12:33:25,8,1.967,0.541,410,16,0.06,0.01,21.99701636,0.218036777,0.036050368,-1,-24.19815366,-0.289971429,0.03922886,1,808.0595588,-0.75977864,0.180652606,-1,5.578612195,0.039950592,0.004118963,1,2,2,2/2,1.86356,1.85837,1.86966,1.86691,1.86654,1.86472,1.8631,1.8674,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.967,0.541,2,629.454,667.358,22.5169,27.0023,30.0001,26.8908,26.9263,26.6576,47.7024,0,22.5103,410,16,101.677,138.097
9,1556300247,1324.4,20190426 12:37:26,12:37:26,782.6952,14.86696,90.2258762,18.6691,11.21796,0.488089401,1.000626815,1296.236,2.290619737,-56.13414883,223.1037532,-4.500033998,,1556300239,0.005811983,22.298688,385.4559355,276.8811856,23.37963681,32.54760614,0.382584144,2.522072468,0.353021311,0.223103753,241.6678928,25.69065349,25.00642258,3.180895319,54.97276174,1.831990749,3.332542682,1.34890457,-256.3084708,106.5342266,8.970818259,100.8644669,-0.048959615,0.054961456,3.954849853,2,0,1,0,61004.94103,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-992-20180822-15_39_40,809.3338077,1100.34,0.264469339,0.5,1261.214652,22.298688,166.7763026,0.46967301,0.018473214,1.964147445,DARK-993-20180822-15_39_41,583.54,516.8,0.563092477,0.807022326,0.963734129,0.877412096,1500.003871,1261.214652,0.840807598,0.191615196,6,0.5,0: Broadleaf,1556300239,385.4559355,409.9950968,21.69596452,16.01002903,599.994871,84.33924194,0.099997777,25.78993548,25.00642258,999.9,0,0,13999.23548,0,0.001701558,1500.003871,0.972991,0.0270089,0,809.324,4.99974,12374.59032,12844.93871,44.909,46.534,45.81606452,46.062,46.921,1454.623871,40.38,0,150,809.3338077,1.236820508,4.786324773,12374.60769,15,1556300160,12:36:00,9,1.999,0.543,410,16,0.07,0.02,22.29581192,0.059074486,0.018364272,-1,-24.53803171,-0.069324042,0.018646133,1,809.2916471,0.753575655,0.230501484,-1,5.684601951,0.027015679,0.002772106,1,2,2,2/2,1.86356,1.85837,1.86966,1.86691,1.86653,1.86468,1.8631,1.8674,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.999,0.543,2,629.524,666.712,22.4975,26.9955,30.0001,26.8818,26.9195,26.6631,47.7024,0,22.4915,410,16,101.685,138.097
10,1556300397,1474.9,20190426 12:39:57,12:39:57,782.6952,14.86696,90.2258762,18.6691,11.2179,0.714279301,1.001021371,1296.643,2.291423515,-126.2590402,227.3948999,-4.405556234,,1556300389,0.005891006,26.88593481,569.7525484,438.4583843,37.02322384,48.10964253,0.390475145,2.522383817,0.359736188,0.2273949,241.6666275,25.67913435,25.00529355,3.180681224,55.14375603,1.839008175,3.334934556,1.341673048,-259.7933792,108.3472288,9.122861649,99.34333878,-0.048969098,0.054972102,3.955438729,2,0,1,0,61012.8913,0,798.3830769,3261.57,2463.186923,0.755215103,-1,MPF-994-20180822-15_42_10,820.2408462,1118.89,0.266915563,0.5,1261.215194,26.88593481,168.3189815,0.481092869,0.02211037,1.91500505,DARK-995-20180822-15_42_12,580.6,538.29,0.55481089,0.799218193,0.931802505,0.869881201,1500.005484,1261.215194,0.840807055,0.191614111,6,0.5,0: Broadleaf,1556300389,569.7525484,599.9946129,21.77899355,16.01634194,600.0056774,84.33954516,0.099993842,25.80204194,25.00529355,999.9,0,0,14001.89677,0,0.001819309,1500.005484,0.973009129,0.026991074,0,820.2985484,4.99974,12548.43548,12845.01935,44.937,46.5,45.812,46.062,46.937,1454.652581,40.35290323,0,150.0999999,820.2408462,-3.576547013,-48.62905983,12547.83846,15,1556300334,12:38:54,10,1.972,0.541,600,16,0.09,0.02,26.87695443,0.234887849,0.038151467,-1,-30.23989512,-0.206924739,0.03574742,1,820.4205588,-3.651434581,0.420159017,-1,5.762351951,0.006568014,0.001183497,1,2,2,2/2,1.86356,1.85837,1.86965,1.86691,1.86653,1.86472,1.8631,1.86739,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,1.972,0.541,2,629.529,667.114,22.6119,26.9955,30.0001,26.8772,26.9149,36.2004,47.7024,0,22.6014,600,16,101.683,138.092
